age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,Customer_ID,Transaction_Date,Transaction_Amount,Subscription_Status
60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown,no,18,2024-05-26,3.44,no
60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown,no,18,2024-07-09,6.87,no
60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown,no,18,2023-02-20,4.17,no
33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown,no,19,2023-08-29,89.53,no
33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown,no,19,2024-02-22,84.36,no
33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown,no,19,2023-11-22,115.2,no
28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,262,1,-1,0,unknown,no,20,2024-02-09,98.18,no
28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,262,1,-1,0,unknown,no,20,2024-03-17,95.0,no
28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,262,1,-1,0,unknown,no,20,2023-02-21,107.96,no
28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,262,1,-1,0,unknown,no,20,2023-05-14,36.18,no
56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown,no,21,2023-11-11,80.47,no
56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown,no,21,2024-07-15,45.36,no
56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown,no,21,2023-01-15,92.03,no
32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,no,22,2024-02-13,1.32,no
32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,no,22,2024-04-22,2.21,no
32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,no,22,2024-06-14,2.19,no
32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,no,22,2023-12-07,3.17,no
25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown,no,23,2024-11-12,5.35,no
25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown,no,23,2024-09-02,6.49,no
25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown,no,23,2023-07-23,6.11,no
40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no,24,2024-05-24,146.96,no
40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no,24,2024-10-24,126.3,no
40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no,24,2024-04-05,122.73,no
40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no,24,2023-02-02,62.71,no
40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no,24,2024-03-26,74.64,no
44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,no,25,2024-05-24,122.69,no
44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,no,25,2023-01-22,124.89,no
44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,no,25,2024-01-28,87.71,no
44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,no,25,2023-02-24,141.24,no
39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown,no,26,2024-02-10,31.2,no
39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown,no,26,2023-12-12,26.55,no
39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown,no,26,2024-02-22,25.95,no
39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown,no,26,2023-07-22,18.5,no
52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,-1,0,unknown,no,27,2023-10-22,10.46,no
52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,-1,0,unknown,no,27,2024-11-06,8.1,no
46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,-1,0,unknown,no,28,2023-03-09,124.18,no
46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,-1,0,unknown,no,28,2024-09-12,140.78,no
46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,-1,0,unknown,no,28,2024-10-23,126.84,no
46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,-1,0,unknown,no,28,2024-06-28,109.74,no
36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,no,29,2024-05-28,16.2,no
36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,no,29,2024-01-24,39.35,no
36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,no,29,2024-12-14,13.83,no
36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,no,29,2024-04-26,16.3,no
36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,no,29,2024-06-04,13.89,no
57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,no,30,2024-02-27,111.74,no
57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,no,30,2024-07-16,124.49,no
57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,no,30,2024-03-31,110.06,no
49,management,married,tertiary,no,378,yes,no,unknown,5,may,230,1,-1,0,unknown,no,31,2024-05-01,24.23,no
49,management,married,tertiary,no,378,yes,no,unknown,5,may,230,1,-1,0,unknown,no,31,2024-05-22,38.28,no
49,management,married,tertiary,no,378,yes,no,unknown,5,may,230,1,-1,0,unknown,no,31,2024-11-21,28.1,no
49,management,married,tertiary,no,378,yes,no,unknown,5,may,230,1,-1,0,unknown,no,31,2023-02-16,31.69,no
60,admin.,married,secondary,no,39,yes,yes,unknown,5,may,208,1,-1,0,unknown,no,32,2023-12-27,4.05,no
60,admin.,married,secondary,no,39,yes,yes,unknown,5,may,208,1,-1,0,unknown,no,32,2023-05-04,3.4,no
60,admin.,married,secondary,no,39,yes,yes,unknown,5,may,208,1,-1,0,unknown,no,32,2023-05-16,2.54,no
59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no,33,2024-02-19,97.77,no
59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no,33,2024-08-17,149.51,no
59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no,33,2024-07-21,79.93,no
51,management,married,tertiary,no,10635,yes,no,unknown,5,may,336,1,-1,0,unknown,no,34,2023-06-08,1303.61,no
51,management,married,tertiary,no,10635,yes,no,unknown,5,may,336,1,-1,0,unknown,no,34,2024-08-02,1362.54,no
51,management,married,tertiary,no,10635,yes,no,unknown,5,may,336,1,-1,0,unknown,no,34,2024-04-22,1100.0,no
57,technician,divorced,secondary,no,63,yes,no,unknown,5,may,242,1,-1,0,unknown,no,35,2023-07-28,5.16,no
57,technician,divorced,secondary,no,63,yes,no,unknown,5,may,242,1,-1,0,unknown,no,35,2024-09-12,6.37,no
57,technician,divorced,secondary,no,63,yes,no,unknown,5,may,242,1,-1,0,unknown,no,35,2023-04-02,9.03,no
25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,365,1,-1,0,unknown,no,36,2024-10-28,66.91,no
25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,365,1,-1,0,unknown,no,36,2024-10-17,57.42,no
25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,365,1,-1,0,unknown,no,36,2024-03-07,111.03,no
25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,365,1,-1,0,unknown,no,36,2024-01-16,82.44,no
53,technician,married,secondary,no,-3,no,no,unknown,5,may,1666,1,-1,0,unknown,no,37,2023-07-31,79.19,no
53,technician,married,secondary,no,-3,no,no,unknown,5,may,1666,1,-1,0,unknown,no,37,2024-03-27,83.07,no
53,technician,married,secondary,no,-3,no,no,unknown,5,may,1666,1,-1,0,unknown,no,37,2023-12-23,128.54,no
53,technician,married,secondary,no,-3,no,no,unknown,5,may,1666,1,-1,0,unknown,no,37,2023-07-19,119.23,no
53,technician,married,secondary,no,-3,no,no,unknown,5,may,1666,1,-1,0,unknown,no,37,2024-10-10,51.73,no
36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,-1,0,unknown,no,38,2023-11-16,44.97,no
36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,-1,0,unknown,no,38,2024-08-10,35.91,no
36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,-1,0,unknown,no,38,2024-04-10,57.58,no
36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,-1,0,unknown,no,38,2024-02-26,34.78,no
36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,-1,0,unknown,no,38,2023-07-12,68.54,no
37,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown,no,39,2023-07-06,112.78,no
37,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown,no,39,2024-04-27,123.16,no
37,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown,no,39,2023-04-24,106.61,no
37,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown,no,39,2023-11-07,50.88,no
44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,no,40,2024-10-15,328.34,no
44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,no,40,2023-09-20,219.4,no
44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,no,40,2024-12-13,205.26,no
44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,no,40,2023-09-10,375.39,no
50,management,married,secondary,no,49,yes,no,unknown,5,may,180,2,-1,0,unknown,no,41,2023-04-21,5.01,no
50,management,married,secondary,no,49,yes,no,unknown,5,may,180,2,-1,0,unknown,no,41,2023-09-11,5.48,no
50,management,married,secondary,no,49,yes,no,unknown,5,may,180,2,-1,0,unknown,no,41,2023-07-18,6.03,no
50,management,married,secondary,no,49,yes,no,unknown,5,may,180,2,-1,0,unknown,no,41,2024-08-24,6.9,no
60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown,no,42,2024-12-25,13.62,no
60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown,no,42,2023-09-02,14.73,no
60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown,no,42,2023-10-02,6.03,no
60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown,no,42,2024-09-05,14.4,no
54,retired,married,secondary,no,529,yes,no,unknown,5,may,1492,1,-1,0,unknown,no,43,2024-01-03,37.84,no
54,retired,married,secondary,no,529,yes,no,unknown,5,may,1492,1,-1,0,unknown,no,43,2023-03-01,65.91,no
58,retired,married,unknown,no,96,yes,no,unknown,5,may,616,1,-1,0,unknown,no,44,2024-12-17,8.66,no
58,retired,married,unknown,no,96,yes,no,unknown,5,may,616,1,-1,0,unknown,no,44,2023-02-07,9.05,no
58,retired,married,unknown,no,96,yes,no,unknown,5,may,616,1,-1,0,unknown,no,44,2023-11-30,10.68,no
58,retired,married,unknown,no,96,yes,no,unknown,5,may,616,1,-1,0,unknown,no,44,2023-12-02,8.69,no
58,retired,married,unknown,no,96,yes,no,unknown,5,may,616,1,-1,0,unknown,no,44,2023-11-10,7.71,no
36,admin.,single,primary,no,-171,yes,no,unknown,5,may,242,1,-1,0,unknown,no,45,2023-11-06,77.27,no
36,admin.,single,primary,no,-171,yes,no,unknown,5,may,242,1,-1,0,unknown,no,45,2024-04-30,98.95,no
36,admin.,single,primary,no,-171,yes,no,unknown,5,may,242,1,-1,0,unknown,no,45,2024-05-11,63.31,no
36,admin.,single,primary,no,-171,yes,no,unknown,5,may,242,1,-1,0,unknown,no,45,2024-04-19,105.96,no
36,admin.,single,primary,no,-171,yes,no,unknown,5,may,242,1,-1,0,unknown,no,45,2024-06-29,93.41,no
58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,no,46,2023-11-23,101.03,no
58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,no,46,2024-03-01,104.87,no
58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,no,46,2024-05-29,100.48,no
58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,no,46,2024-09-05,124.69,no
44,technician,married,secondary,no,0,yes,no,unknown,5,may,225,2,-1,0,unknown,no,47,2024-11-17,113.42,no
44,technician,married,secondary,no,0,yes,no,unknown,5,may,225,2,-1,0,unknown,no,47,2023-07-27,149.52,no
55,technician,divorced,secondary,no,0,no,no,unknown,5,may,160,1,-1,0,unknown,no,48,2024-09-05,141.27,no
55,technician,divorced,secondary,no,0,no,no,unknown,5,may,160,1,-1,0,unknown,no,48,2023-05-28,72.02,no
55,technician,divorced,secondary,no,0,no,no,unknown,5,may,160,1,-1,0,unknown,no,48,2023-06-18,62.49,no
55,technician,divorced,secondary,no,0,no,no,unknown,5,may,160,1,-1,0,unknown,no,48,2023-04-13,64.03,no
29,management,single,tertiary,no,0,yes,no,unknown,5,may,363,1,-1,0,unknown,no,49,2024-03-06,95.27,no
29,management,single,tertiary,no,0,yes,no,unknown,5,may,363,1,-1,0,unknown,no,49,2023-08-02,140.14,no
29,management,single,tertiary,no,0,yes,no,unknown,5,may,363,1,-1,0,unknown,no,49,2023-01-05,66.1,no
54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,266,1,-1,0,unknown,no,50,2024-10-12,87.42,no
54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,266,1,-1,0,unknown,no,50,2024-05-26,152.99,no
54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,266,1,-1,0,unknown,no,50,2023-10-16,192.56,no
48,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,253,1,-1,0,unknown,no,51,2023-08-25,87.72,no
48,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,253,1,-1,0,unknown,no,51,2024-04-13,96.14,no
32,management,married,tertiary,no,0,yes,no,unknown,5,may,179,1,-1,0,unknown,no,52,2024-05-02,74.72,no
32,management,married,tertiary,no,0,yes,no,unknown,5,may,179,1,-1,0,unknown,no,52,2024-12-07,64.57,no
32,management,married,tertiary,no,0,yes,no,unknown,5,may,179,1,-1,0,unknown,no,52,2023-05-04,129.0,no
32,management,married,tertiary,no,0,yes,no,unknown,5,may,179,1,-1,0,unknown,no,52,2023-11-13,54.0,no
32,management,married,tertiary,no,0,yes,no,unknown,5,may,179,1,-1,0,unknown,no,52,2024-09-25,67.97,no
42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,no,53,2023-12-05,99.37,no
42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,no,53,2023-12-21,58.6,no
42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,no,53,2024-05-04,141.32,no
42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,no,53,2024-05-26,100.15,no
42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,no,53,2023-11-16,131.88,no
24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,145,1,-1,0,unknown,no,54,2023-12-24,65.95,no
24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,145,1,-1,0,unknown,no,54,2024-03-09,85.05,no
24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,145,1,-1,0,unknown,no,54,2023-02-15,126.03,no
24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,145,1,-1,0,unknown,no,54,2023-08-17,128.21,no
38,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,174,1,-1,0,unknown,no,55,2024-06-08,23.03,no
38,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,174,1,-1,0,unknown,no,55,2024-06-01,20.41,no
38,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,174,1,-1,0,unknown,no,55,2023-09-04,18.84,no
38,management,single,tertiary,no,424,yes,no,unknown,5,may,104,1,-1,0,unknown,no,56,2023-10-12,61.76,no
38,management,single,tertiary,no,424,yes,no,unknown,5,may,104,1,-1,0,unknown,no,56,2024-08-22,22.61,no
38,management,single,tertiary,no,424,yes,no,unknown,5,may,104,1,-1,0,unknown,no,56,2024-10-18,24.67,no
38,management,single,tertiary,no,424,yes,no,unknown,5,may,104,1,-1,0,unknown,no,56,2023-01-31,38.41,no
47,blue-collar,married,unknown,no,306,yes,no,unknown,5,may,13,1,-1,0,unknown,no,57,2023-12-30,34.12,no
47,blue-collar,married,unknown,no,306,yes,no,unknown,5,may,13,1,-1,0,unknown,no,57,2023-11-01,33.46,no
47,blue-collar,married,unknown,no,306,yes,no,unknown,5,may,13,1,-1,0,unknown,no,57,2023-12-18,29.92,no
47,blue-collar,married,unknown,no,306,yes,no,unknown,5,may,13,1,-1,0,unknown,no,57,2023-10-03,29.11,no
40,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,185,1,-1,0,unknown,no,58,2023-12-16,2.4,no
40,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,185,1,-1,0,unknown,no,58,2023-12-02,2.14,no
40,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,185,1,-1,0,unknown,no,58,2023-10-27,1.8,no
40,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,185,1,-1,0,unknown,no,58,2023-02-07,2.02,no
40,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,185,1,-1,0,unknown,no,58,2024-07-02,1.95,no
46,services,married,primary,no,179,yes,no,unknown,5,may,1778,1,-1,0,unknown,no,59,2024-10-05,11.35,no
46,services,married,primary,no,179,yes,no,unknown,5,may,1778,1,-1,0,unknown,no,59,2023-01-09,20.47,no
46,services,married,primary,no,179,yes,no,unknown,5,may,1778,1,-1,0,unknown,no,59,2023-02-13,12.7,no
46,services,married,primary,no,179,yes,no,unknown,5,may,1778,1,-1,0,unknown,no,59,2024-04-12,20.17,no
46,services,married,primary,no,179,yes,no,unknown,5,may,1778,1,-1,0,unknown,no,59,2024-05-16,11.92,no
32,admin.,married,tertiary,no,0,yes,no,unknown,5,may,138,1,-1,0,unknown,no,60,2024-01-14,53.85,no
32,admin.,married,tertiary,no,0,yes,no,unknown,5,may,138,1,-1,0,unknown,no,60,2023-02-16,143.31,no
53,technician,divorced,secondary,no,989,yes,no,unknown,5,may,812,1,-1,0,unknown,no,61,2023-04-24,71.75,no
53,technician,divorced,secondary,no,989,yes,no,unknown,5,may,812,1,-1,0,unknown,no,61,2023-07-31,120.92,no
53,technician,divorced,secondary,no,989,yes,no,unknown,5,may,812,1,-1,0,unknown,no,61,2024-05-07,94.26,no
53,technician,divorced,secondary,no,989,yes,no,unknown,5,may,812,1,-1,0,unknown,no,61,2023-02-14,135.05,no
57,blue-collar,married,primary,no,249,yes,no,unknown,5,may,164,1,-1,0,unknown,no,62,2024-02-16,31.52,no
57,blue-collar,married,primary,no,249,yes,no,unknown,5,may,164,1,-1,0,unknown,no,62,2024-05-15,22.97,no
57,blue-collar,married,primary,no,249,yes,no,unknown,5,may,164,1,-1,0,unknown,no,62,2024-02-22,21.36,no
33,services,married,secondary,no,790,yes,no,unknown,5,may,391,1,-1,0,unknown,no,63,2024-10-14,96.96,no
33,services,married,secondary,no,790,yes,no,unknown,5,may,391,1,-1,0,unknown,no,63,2023-01-08,117.94,no
33,services,married,secondary,no,790,yes,no,unknown,5,may,391,1,-1,0,unknown,no,63,2023-02-14,83.42,no
