Customer_ID,Transaction_Date,Transaction_Amount,Subscription_Status
31,2023-05-29,44.45,no
31,2023-03-15,34.64,no
32,2024-04-02,2.47,no
32,2024-01-22,4.7,no
32,2024-04-07,2.85,no
33,2023-05-19,73.75,no
33,2023-01-19,145.21,no
33,2023-01-07,116.76,no
34,2023-10-11,1114.88,no
34,2023-10-08,797.2,no
34,2024-03-05,1006.28,no
34,2023-09-21,1368.75,no
34,2023-08-11,1444.36,no
35,2024-08-29,5.83,no
35,2023-08-18,5.3,no
36,2023-03-20,60.62,no
36,2023-08-06,141.49,no
37,2023-11-25,149.85,no
37,2023-06-16,107.02,no
37,2024-02-29,51.58,no
37,2023-02-22,119.76,no
38,2024-09-19,33.99,no
38,2024-06-22,49.66,no
39,2024-09-02,62.85,no
39,2023-09-06,78.65,no
39,2023-12-19,62.42,no
39,2024-07-17,132.8,no
39,2024-06-12,123.06,no
40,2024-04-28,280.61,no
40,2024-07-19,376.97,no
40,2023-12-15,330.8,no
40,2024-07-17,260.72,no
40,2024-06-10,267.72,no
41,2024-05-08,3.65,no
41,2023-11-18,6.94,no
42,2023-10-18,9.68,no
42,2024-08-08,12.6,no
42,2023-12-18,7.09,no
43,2024-05-01,78.69,no
43,2023-06-19,74.47,no
44,2023-06-09,8.82,no
44,2023-06-12,6.32,no
44,2024-05-28,12.8,no
45,2023-12-31,105.45,no
45,2023-09-07,135.63,no
45,2023-10-01,67.79,no
45,2024-07-29,65.45,no
45,2024-01-21,89.19,no
46,2023-03-30,149.84,no
46,2023-12-20,145.72,no
47,2024-03-15,145.41,no
47,2023-03-24,143.87,no
48,2023-11-28,70.98,no
48,2024-09-15,102.38,no
48,2024-09-30,68.49,no
48,2023-07-21,60.85,no
49,2023-12-13,80.87,no
49,2023-02-12,94.43,no
49,2023-07-24,59.1,no
50,2024-06-21,95.82,no
50,2024-03-27,134.49,no
50,2024-09-22,115.64,no
51,2024-04-17,139.67,no
51,2023-11-02,133.76,no
51,2024-08-27,56.1,no
52,2023-12-11,136.6,no
52,2024-04-02,109.22,no
53,2024-02-16,138.68,no
53,2023-04-18,53.58,no
53,2023-07-02,51.8,no
53,2023-11-24,107.55,no
53,2024-12-07,138.27,no
54,2023-06-20,109.56,no
54,2024-02-18,124.6,no
54,2023-11-18,111.65,no
54,2024-11-29,61.85,no
54,2024-03-22,77.32,no
55,2023-07-23,21.0,no
55,2024-11-27,17.3,no
56,2023-08-16,52.79,no
56,2024-10-06,40.2,no
57,2023-08-11,31.48,no
57,2024-07-21,25.73,no
58,2024-11-09,2.78,no
58,2023-06-19,2.45,no
58,2023-03-14,3.34,no
58,2023-02-26,1.65,no
59,2023-12-24,13.4,no
59,2023-03-21,19.93,no
59,2024-05-30,19.71,no
59,2024-05-22,26.05,no
60,2024-02-18,123.47,no
60,2024-02-05,103.27,no
60,2023-09-16,131.0,no
60,2024-06-03,105.9,no
61,2023-04-19,95.56,no
61,2023-12-29,70.3,no
61,2023-06-02,121.53,no
61,2024-04-18,146.99,no
61,2023-02-11,65.24,no
62,2024-07-28,34.9,no
62,2023-08-02,22.01,no
62,2024-07-07,13.47,no
62,2023-08-10,19.25,no
62,2023-05-12,32.34,no
63,2023-09-20,84.56,no
63,2023-01-21,60.73,no
63,2023-09-25,55.19,no
63,2023-01-17,103.77,no
64,2023-08-06,17.03,no
64,2024-10-16,17.84,no
64,2023-02-15,11.95,no
64,2023-09-07,17.04,no
64,2023-12-06,14.77,no
65,2024-09-05,716.86,no
65,2023-07-25,976.38,no
66,2023-12-29,5.57,no
66,2023-11-05,5.07,no
66,2024-04-07,12.21,no
67,2024-11-11,4.13,no
67,2023-04-03,7.05,no
67,2024-07-12,4.43,no
67,2024-10-18,5.07,no
67,2023-06-07,8.66,no
68,2023-08-13,106.78,no
68,2023-10-16,162.28,no
68,2023-03-17,176.7,no
68,2024-09-03,94.12,no
69,2023-05-18,1573.83,no
69,2024-03-12,708.36,no
69,2024-11-18,1423.35,no
70,2023-08-24,553.97,no
70,2024-11-10,490.59,no
71,2024-02-20,1.45,no
71,2023-05-30,3.75,no
72,2024-03-27,28.98,no
72,2024-11-02,22.55,no
72,2023-12-22,26.36,no
73,2024-09-10,2.65,no
73,2023-12-08,3.26,no
73,2023-02-06,1.35,no
73,2024-04-02,1.76,no
73,2023-07-20,1.51,no
74,2023-11-19,228.7,no
74,2023-02-10,195.1,no
74,2023-04-08,243.49,no
74,2023-08-14,163.71,no
74,2023-08-02,281.95,no
75,2024-12-29,33.34,no
75,2023-07-08,50.3,no
76,2023-05-09,33.96,no
76,2024-01-26,79.3,no
76,2023-06-20,84.06,no
77,2023-06-06,5.87,no
77,2023-06-09,9.01,no
78,2024-08-07,135.9,no
78,2023-05-17,143.03,no
78,2023-04-13,119.27,no
79,2023-11-25,0.13,no
79,2024-03-31,0.15,no
80,2023-12-27,29.95,no
80,2023-11-06,18.33,no
80,2024-02-20,23.49,no
80,2023-08-17,21.71,no
80,2024-09-05,19.8,no
81,2024-05-02,13.46,no
81,2023-02-06,14.25,no
82,2023-02-17,41.8,no
82,2023-10-10,92.57,no
82,2024-02-27,64.98,no
82,2023-05-29,63.13,no
82,2023-04-29,89.56,no
83,2024-07-25,227.89,yes
83,2023-04-26,180.21,yes
84,2024-07-22,12.38,no
84,2024-07-25,18.63,no
85,2024-07-22,22.59,no
85,2024-06-12,14.34,no
85,2024-02-15,20.29,no
85,2023-08-23,16.99,no
85,2024-01-04,20.73,no
86,2023-07-15,5.82,yes
86,2024-07-21,6.2,yes
87,2023-08-08,105.44,yes
87,2024-10-11,82.28,yes
87,2024-07-11,150.44,yes
88,2023-09-19,2.3,no
88,2024-05-05,0.95,no
88,2024-03-26,1.67,no
88,2023-02-06,1.58,no
89,2024-11-27,54.06,no
89,2024-10-11,63.39,no
89,2023-08-30,39.82,no
90,2023-06-10,3.35,no
90,2023-09-19,5.55,no
91,2023-08-12,22.13,no
91,2023-10-08,20.77,no
91,2023-01-26,13.5,no
92,2024-12-19,24.24,no
92,2024-10-19,19.45,no
92,2023-03-23,39.46,no
92,2024-11-22,20.56,no
93,2024-04-26,5.69,no
93,2024-07-10,6.0,no
93,2023-09-14,7.97,no
93,2023-09-17,4.14,no
94,2023-04-17,72.02,no
94,2024-07-11,76.28,no
94,2023-11-26,125.42,no
95,2024-11-07,11.34,no
95,2024-10-18,9.52,no
95,2023-04-24,9.2,no
95,2024-02-06,9.29,no
95,2024-08-07,8.72,no
96,2024-01-23,47.5,no
96,2024-01-31,36.75,no
96,2023-12-18,33.65,no
96,2024-10-20,47.87,no
97,2024-05-19,9.48,no
97,2024-05-13,11.66,no
97,2024-08-07,4.48,no
97,2024-11-11,10.54,no
98,2023-06-10,119.31,no
98,2024-02-10,91.33,no
99,2024-08-06,17.54,no
99,2023-12-03,30.17,no
99,2024-03-18,29.05,no
99,2023-08-14,27.87,no
100,2024-04-07,137.57,no
100,2024-02-26,125.21,no
100,2024-10-02,121.04,no
101,2023-01-25,10.63,no
101,2023-12-24,12.3,no
102,2023-08-22,13.92,no
102,2023-10-24,13.16,no
102,2024-10-10,18.11,no
102,2024-04-29,10.49,no
102,2024-12-27,18.7,no
103,2023-06-03,22.23,no
103,2023-10-31,15.82,no
103,2023-12-15,11.81,no
103,2023-12-02,13.65,no
103,2024-09-26,14.64,no
104,2024-11-14,101.68,no
104,2023-10-04,97.51,no
104,2023-09-30,114.16,no
105,2023-07-14,7.49,no
105,2023-11-21,2.83,no
105,2023-08-06,2.71,no
105,2024-08-07,5.18,no
105,2023-04-09,7.27,no
106,2024-01-07,10.64,no
106,2024-11-27,22.32,no
106,2023-04-24,21.04,no
106,2024-09-22,20.44,no
107,2024-10-24,7.52,no
107,2023-02-23,6.8,no
107,2023-03-02,3.65,no
107,2024-12-23,5.72,no
107,2023-12-21,7.38,no
108,2024-07-27,2.36,no
108,2024-01-26,3.16,no
108,2024-02-29,2.04,no
108,2023-11-21,2.13,no
108,2023-11-06,3.63,no
109,2024-12-24,43.9,no
109,2024-12-02,55.04,no
110,2024-03-27,3.66,no
110,2024-02-03,2.69,no
111,2023-06-12,7.36,no
111,2024-06-26,9.47,no
111,2023-08-21,10.23,no
112,2024-02-17,106.31,no
112,2024-09-25,60.59,no
112,2023-12-31,147.02,no
112,2023-01-25,64.26,no
112,2024-01-13,141.28,no
113,2023-01-18,41.19,no
113,2024-09-27,32.39,no
114,2024-02-07,8.59,no
114,2024-09-08,6.42,no
114,2023-10-26,9.49,no
115,2024-05-31,19.37,no
115,2024-01-08,19.83,no
115,2024-01-12,21.45,no
116,2024-11-09,23.93,no
116,2024-10-02,51.66,no
117,2023-12-05,136.03,no
117,2024-10-02,89.31,no
117,2024-08-29,67.75,no
117,2024-08-11,65.94,no
118,2023-03-07,29.36,no
118,2024-03-26,23.51,no
118,2023-02-14,18.23,no
118,2024-06-07,20.24,no
119,2023-01-23,136.7,no
119,2024-03-29,78.73,no
119,2024-04-01,144.99,no
119,2024-05-24,129.18,no
119,2024-10-21,97.31,no
120,2023-09-25,8.1,no
120,2023-10-14,8.39,no
120,2024-07-22,6.87,no
120,2023-01-11,3.65,no
120,2024-09-06,4.63,no
121,2024-09-15,1.59,no
121,2024-07-19,2.28,no
122,2024-06-05,0.24,no
122,2023-10-21,0.4,no
122,2023-01-24,0.35,no
123,2023-01-05,2.99,no
123,2024-06-03,2.56,no
124,2024-10-19,0.38,no
124,2024-07-06,0.49,no
124,2023-02-27,0.58,no
124,2023-11-23,0.66,no
124,2023-10-02,0.65,no
125,2024-03-28,15.67,no
125,2023-07-14,14.18,no
125,2023-08-26,9.53,no
125,2023-10-31,7.76,no
125,2023-10-27,7.36,no
126,2024-11-15,69.55,no
126,2024-03-15,44.22,no
126,2024-06-22,89.24,no
126,2024-10-29,43.19,no
127,2024-04-19,95.71,no
127,2024-01-21,143.07,no
127,2024-08-14,122.88,no
127,2023-07-21,117.98,no
127,2023-02-01,142.4,no
128,2024-12-12,78.58,no
128,2024-10-04,104.57,no
128,2023-04-14,100.7,no
128,2023-11-22,73.3,no
129,2024-05-13,340.35,yes
129,2024-08-26,326.52,yes
130,2024-09-18,163.16,no
130,2024-05-05,105.82,no
130,2024-07-22,113.43,no
130,2024-04-05,174.48,no
130,2023-12-07,89.44,no
131,2024-04-07,13.86,no
131,2024-09-26,16.3,no
132,2024-11-11,129.85,no
132,2023-12-03,171.2,no
132,2024-12-12,170.03,no
133,2023-02-26,52.77,no
133,2024-04-14,53.06,no
133,2024-11-13,99.51,no
133,2023-07-09,85.78,no
133,2024-01-18,61.56,no
134,2024-05-06,50.92,no
134,2024-07-25,92.67,no
135,2024-12-13,10.17,no
135,2023-05-27,8.38,no
136,2024-06-27,60.63,no
136,2024-06-04,82.25,no
137,2023-12-17,76.46,no
137,2024-10-03,124.94,no
138,2023-05-14,34.07,no
138,2024-07-08,56.99,no
139,2024-06-06,25.3,no
139,2023-01-30,21.28,no
140,2023-08-15,119.9,no
140,2024-01-03,138.6,no
140,2024-10-17,75.41,no
140,2023-09-27,93.01,no
140,2024-01-29,64.46,no
141,2024-12-16,0.4,no
141,2023-02-25,0.17,no
141,2024-06-26,0.34,no
142,2023-05-30,3.03,no
142,2023-09-29,3.04,no
142,2023-10-11,5.48,no
143,2024-03-26,2.68,no
143,2024-03-21,5.5,no
143,2024-12-25,3.31,no
144,2024-07-10,7.62,no
144,2024-12-05,8.54,no
145,2024-03-18,1.31,no
145,2023-10-07,1.51,no
145,2024-03-27,2.04,no
145,2024-10-02,3.11,no
146,2023-09-13,0.42,no
146,2023-11-22,0.94,no
146,2024-04-11,1.1,no
147,2024-01-08,33.38,no
147,2023-11-19,30.25,no
147,2024-05-10,42.85,no
147,2023-09-25,28.06,no
147,2024-06-16,30.96,no
148,2023-08-31,0.36,no
148,2024-01-12,0.34,no
148,2023-06-23,0.31,no
148,2024-08-18,0.28,no
149,2024-02-03,29.76,no
149,2024-11-28,20.31,no
149,2024-12-27,19.71,no
149,2024-03-18,48.36,no
149,2023-05-28,39.64,no
150,2023-02-04,112.17,no
150,2024-10-13,61.58,no
150,2024-01-21,149.86,no
151,2024-04-28,86.89,no
151,2023-05-05,119.48,no
151,2023-12-14,78.04,no
152,2024-02-28,103.99,no
152,2024-07-01,144.89,no
152,2023-03-31,105.84,no
152,2024-07-22,50.68,no
153,2023-01-14,1.98,no
153,2023-12-04,2.46,no
154,2023-07-08,19.23,no
154,2023-05-05,10.96,no
154,2024-12-17,11.5,no
154,2024-01-22,11.47,no
154,2024-11-17,10.32,no
155,2023-08-13,80.76,no
155,2023-05-08,97.03,no
155,2023-08-30,66.4,no
156,2024-07-25,278.61,no
156,2024-09-01,262.13,no
157,2024-07-08,29.51,no
157,2024-03-12,18.77,no
157,2024-06-14,18.17,no
157,2023-07-20,28.68,no
158,2023-06-27,81.36,no
158,2023-07-06,107.87,no
158,2024-12-22,73.9,no
159,2024-09-27,70.14,no
159,2023-07-02,69.28,no
159,2024-09-17,95.49,no
159,2023-05-09,83.6,no
160,2023-10-10,98.08,no
160,2024-04-14,103.77,no
161,2024-02-10,6.92,no
161,2024-01-26,6.04,no
162,2023-02-16,25.72,no
162,2023-03-07,22.19,no
162,2023-02-07,10.52,no
163,2024-12-21,159.47,no
163,2024-10-06,164.08,no
164,2024-07-21,9.92,no
164,2024-07-15,6.16,no
165,2023-02-11,4.49,no
165,2024-06-11,7.65,no
166,2023-10-02,33.18,no
166,2023-06-07,39.9,no
166,2024-05-23,20.93,no
167,2023-05-14,138.06,no
167,2024-05-03,147.34,no
168,2024-05-26,25.24,yes
168,2023-10-01,10.71,yes
168,2023-05-16,24.32,yes
169,2023-07-31,50.37,no
169,2024-05-21,131.32,no
169,2024-05-12,120.77,no
169,2024-08-04,123.63,no
169,2023-12-01,141.75,no
170,2023-07-12,61.32,no
170,2024-12-11,128.66,no
170,2023-01-23,144.8,no
170,2023-11-02,83.48,no
170,2023-04-30,89.77,no
171,2024-09-05,122.4,no
171,2023-12-12,93.68,no
171,2024-11-02,110.81,no
171,2024-02-20,196.58,no
171,2023-12-20,107.6,no
172,2023-01-21,1.65,no
172,2024-12-26,1.14,no
172,2024-09-21,1.76,no
172,2024-04-05,2.48,no
173,2023-03-15,63.33,no
173,2023-12-11,34.57,no
173,2023-08-25,48.32,no
173,2023-02-17,50.71,no
173,2023-09-03,48.4,no
174,2024-10-17,5.01,no
174,2023-03-13,6.6,no
174,2024-10-06,9.81,no
174,2024-04-04,11.64,no
175,2024-11-25,79.29,no
175,2023-07-11,107.97,no
175,2024-05-18,103.13,no
176,2023-01-17,3.58,no
176,2024-12-21,3.61,no
177,2024-11-10,3.27,no
177,2024-10-02,6.0,no
177,2023-04-29,4.94,no
177,2023-06-17,5.9,no
177,2023-10-17,7.21,no
178,2024-04-13,14.65,no
178,2023-10-02,10.93,no
178,2023-03-17,19.13,no
178,2024-03-12,23.79,no
178,2023-09-02,17.44,no
179,2024-12-12,162.52,no
179,2023-03-11,85.9,no
180,2024-07-02,3.98,no
180,2023-01-24,5.27,no
180,2023-11-18,2.15,no
180,2023-07-14,3.26,no
180,2024-05-20,4.27,no
181,2024-12-23,64.18,no
181,2024-07-10,47.32,no
182,2023-10-09,4.89,no
182,2023-12-04,8.65,no
183,2023-04-13,16.98,no
183,2024-11-16,13.2,no
184,2024-05-05,14.71,no
184,2023-03-26,24.79,no
184,2024-01-16,14.08,no
184,2023-06-11,21.61,no
184,2023-08-26,26.4,no
185,2024-11-25,32.88,no
185,2023-12-13,13.17,no
185,2024-05-10,27.63,no
185,2023-02-11,32.76,no
186,2024-04-21,493.1,no
186,2024-06-13,346.67,no
187,2024-02-13,486.92,no
187,2023-10-15,217.33,no
188,2024-08-11,7.82,no
188,2024-10-29,3.6,no
188,2023-09-20,6.58,no
189,2024-07-05,79.33,no
189,2023-03-10,104.94,no
189,2024-05-03,58.98,no
190,2023-10-22,253.86,no
190,2023-03-27,175.42,no
190,2024-10-17,166.3,no
190,2023-12-13,167.16,no
190,2023-07-14,225.91,no
191,2024-03-23,48.85,no
191,2024-10-12,47.28,no
191,2024-11-09,20.98,no
191,2024-08-22,23.89,no
192,2024-03-20,6.53,no
192,2024-12-20,4.45,no
192,2023-11-26,4.2,no
192,2023-06-17,9.91,no
193,2023-04-26,34.26,no
193,2023-02-11,64.34,no
193,2023-04-24,57.55,no
193,2024-03-09,31.24,no
193,2023-11-16,31.52,no
194,2024-12-30,26.06,no
194,2023-10-11,13.78,no
194,2023-09-28,17.01,no
194,2023-05-16,35.6,no
194,2023-05-29,36.32,no
195,2023-06-25,42.73,no
195,2024-05-11,44.72,no
195,2023-04-18,23.19,no
195,2024-03-13,33.65,no
196,2023-01-24,21.06,no
196,2024-12-02,16.66,no
196,2023-12-28,15.23,no
197,2023-04-03,13.93,no
197,2023-12-04,21.07,no
198,2024-03-13,23.4,no
198,2023-09-12,42.47,no
198,2023-07-21,34.51,no
198,2024-05-10,36.98,no
199,2023-01-13,84.45,no
199,2023-12-02,213.65,no
199,2023-03-08,188.67,no
199,2024-04-27,136.59,no
199,2024-08-17,178.18,no
200,2023-06-25,13.51,no
200,2023-02-13,27.59,no
200,2023-10-29,11.03,no
200,2024-02-05,22.55,no
201,2024-02-26,0.4,no
201,2023-06-14,0.37,no
201,2023-06-11,0.41,no
201,2024-04-04,1.02,no
202,2023-04-18,32.93,no
202,2024-08-22,53.14,no
202,2024-10-30,76.92,no
203,2024-02-20,18.5,no
203,2024-01-30,22.23,no
203,2023-03-22,25.18,no
204,2023-10-06,68.23,no
204,2023-06-09,62.02,no
204,2024-02-15,131.14,no
205,2023-02-04,752.06,no
205,2024-03-14,465.6,no
206,2023-07-18,22.83,no
206,2024-07-01,15.15,no
206,2024-05-13,10.66,no
206,2024-12-26,17.73,no
206,2024-10-11,11.51,no
207,2023-08-15,38.93,no
207,2024-08-21,60.83,no
207,2023-08-26,36.64,no
208,2024-05-31,13.39,no
208,2023-09-04,16.46,no
208,2023-01-15,35.5,no
208,2024-12-30,28.47,no
208,2023-07-01,29.92,no
209,2024-10-04,6.23,no
209,2024-03-06,5.86,no
209,2023-12-03,4.06,no
209,2024-03-19,6.96,no
210,2024-07-07,59.36,no
210,2023-03-22,50.55,no
210,2023-01-09,132.21,no
211,2023-02-12,48.03,no
211,2023-09-27,38.38,no
211,2023-08-10,43.1,no
212,2023-06-27,21.28,no
212,2024-12-21,24.35,no
212,2024-01-19,29.01,no
212,2023-07-06,16.64,no
213,2023-07-19,38.21,no
213,2023-10-15,33.41,no
213,2023-01-17,23.67,no
213,2023-12-17,36.85,no
214,2023-09-07,65.56,no
214,2023-06-18,141.0,no
214,2024-11-20,78.69,no
215,2024-03-31,52.89,no
215,2024-02-15,62.77,no
215,2023-08-22,57.68,no
216,2024-11-07,3.78,no
216,2024-03-01,1.77,no
217,2024-09-12,1.31,no
217,2023-10-21,1.14,no
217,2024-04-14,1.19,no
218,2024-10-10,57.52,no
218,2024-08-01,75.99,no
218,2023-11-22,96.78,no
219,2024-11-11,33.29,no
219,2024-03-27,28.97,no
219,2024-06-20,53.66,no
219,2024-02-25,25.26,no
219,2023-12-07,28.24,no
220,2023-01-17,12.68,no
220,2023-08-15,18.59,no
221,2024-06-05,44.3,no
221,2023-10-18,44.83,no
222,2024-10-27,99.13,no
222,2024-09-19,68.69,no
222,2024-01-11,108.97,no
223,2024-07-31,86.71,no
223,2024-11-09,78.86,no
223,2023-05-22,69.87,no
224,2023-04-05,23.64,no
224,2023-12-14,26.73,no
225,2024-05-04,26.27,no
225,2024-08-20,37.65,no
225,2024-11-09,36.51,no
225,2023-08-05,23.92,no
226,2023-09-15,129.13,no
226,2024-08-25,103.84,no
227,2023-11-21,3.94,no
227,2023-07-24,2.95,no
228,2023-07-12,148.03,no
228,2024-02-26,134.41,no
229,2023-04-26,113.88,no
229,2023-07-19,137.85,no
229,2024-04-25,195.24,no
229,2023-01-31,177.72,no
229,2023-12-06,154.2,no
230,2024-10-13,54.52,no
230,2023-03-03,139.84,no
230,2023-09-06,74.96,no
230,2023-02-19,120.94,no
231,2024-11-05,53.84,no
231,2023-01-26,27.23,no
231,2024-03-26,21.79,no
232,2024-11-28,25.45,no
232,2023-09-25,43.62,no
232,2023-07-25,30.59,no
233,2023-02-24,153.08,no
233,2023-08-22,263.81,no
233,2024-04-09,273.36,no
233,2023-10-02,152.37,no
234,2024-09-03,55.73,no
234,2023-07-02,67.74,no
234,2024-08-06,73.17,no
234,2023-08-21,50.24,no
235,2023-03-10,3.66,no
235,2024-08-03,2.63,no
235,2023-05-31,3.73,no
235,2024-03-17,2.26,no
236,2023-10-30,28.13,no
236,2024-12-08,42.45,no
236,2024-09-18,18.55,no
236,2023-04-27,47.2,no
237,2024-10-14,73.25,no
237,2024-03-18,74.99,no
237,2024-03-24,136.5,no
237,2024-04-22,52.0,no
238,2023-07-16,6.5,no
238,2023-11-06,8.81,no
238,2023-09-21,9.57,no
238,2024-10-02,4.96,no
239,2024-08-25,65.89,no
239,2024-04-14,69.3,no
239,2023-10-26,108.0,no
239,2024-11-14,66.8,no
239,2024-08-20,127.48,no
240,2024-08-15,39.47,no
240,2023-06-03,41.39,no
240,2024-12-24,43.97,no
240,2024-03-26,20.86,no
241,2024-08-28,10.58,no
241,2023-10-06,9.08,no
241,2024-02-15,7.06,no
242,2024-12-09,98.4,no
242,2023-11-11,115.0,no
243,2023-10-03,52.24,no
243,2023-05-28,61.27,no
243,2023-12-13,54.64,no
244,2024-10-31,432.66,no
244,2024-06-09,332.11,no
244,2024-02-17,231.75,no
244,2023-10-04,288.75,no
245,2024-05-08,37.66,no
245,2023-08-05,36.32,no
245,2024-12-11,16.31,no
245,2024-06-15,26.32,no
245,2023-06-08,28.51,no
246,2023-08-28,92.29,no
246,2024-01-10,136.87,no
246,2024-09-28,65.3,no
246,2023-05-21,139.35,no
247,2023-12-21,19.55,no
247,2024-12-24,15.99,no
248,2023-05-21,60.39,no
248,2024-02-17,51.89,no
248,2024-11-28,44.9,no
249,2024-08-20,321.31,no
249,2023-02-25,271.96,no
250,2024-12-15,45.41,no
250,2023-05-11,37.5,no
251,2024-11-29,148.34,no
251,2024-08-09,87.54,no
252,2024-10-18,133.75,no
252,2024-06-22,69.78,no
252,2024-05-12,111.69,no
252,2023-06-25,80.81,no
252,2024-09-26,81.95,no
253,2023-02-27,14.33,no
253,2023-08-20,13.4,no
254,2023-06-10,20.53,no
254,2023-04-13,43.46,no
254,2024-06-14,17.88,no
254,2024-06-22,29.56,no
254,2024-11-04,43.98,no
255,2023-07-01,36.41,no
255,2023-04-07,20.86,no
255,2023-08-13,32.02,no
255,2023-10-14,36.75,no
256,2023-12-24,74.65,no
256,2024-04-24,56.23,no
256,2024-07-15,95.76,no
257,2023-07-11,224.91,no
257,2024-12-17,312.15,no
257,2023-05-18,155.67,no
257,2024-01-22,254.95,no
258,2023-07-08,12.04,no
258,2024-05-07,19.29,no
259,2023-07-27,54.4,no
259,2024-03-20,37.72,no
259,2024-09-03,40.05,no
259,2024-10-06,37.98,no
259,2023-12-14,41.61,no
260,2023-06-11,7.73,no
260,2024-02-08,5.77,no
260,2023-01-22,5.71,no
261,2024-11-21,16.14,no
261,2023-07-16,28.81,no
262,2023-11-30,27.75,no
262,2023-06-17,30.79,no
262,2023-07-02,14.84,no
262,2023-10-08,34.93,no
263,2023-06-12,86.21,no
263,2023-10-18,46.32,no
264,2023-07-08,22.35,no
264,2024-01-13,28.5,no
264,2024-05-01,20.53,no
264,2023-09-03,19.82,no
265,2023-01-11,1.54,no
265,2023-09-17,1.73,no
265,2024-08-03,3.14,no
266,2023-05-18,52.48,no
266,2023-03-13,37.57,no
266,2024-06-14,81.09,no
266,2024-02-12,73.17,no
266,2024-11-29,38.77,no
267,2023-09-12,53.08,no
267,2023-11-07,133.55,no
267,2023-04-11,94.8,no
268,2023-02-21,9.42,no
268,2024-10-07,11.16,no
268,2023-01-14,10.97,no
268,2024-06-25,27.17,no
269,2023-10-23,124.48,no
269,2023-09-21,103.52,no
269,2023-08-04,129.49,no
269,2024-06-09,52.12,no
270,2023-01-04,63.48,yes
270,2023-04-23,68.87,yes
270,2023-07-07,113.24,yes
270,2024-03-01,80.31,yes
271,2023-09-22,113.2,no
271,2024-03-13,70.08,no
271,2024-02-27,110.39,no
271,2023-03-10,82.18,no
271,2024-11-17,56.58,no
272,2024-08-29,83.09,no
272,2023-09-10,153.64,no
273,2024-09-05,13.27,no
273,2023-05-29,18.46,no
274,2023-01-21,16.72,no
274,2023-04-17,16.91,no
274,2023-05-20,24.93,no
274,2024-03-10,20.83,no
275,2023-06-13,23.79,no
275,2024-10-30,29.48,no
275,2024-04-22,39.53,no
